AREA,,,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN,,BCA,CEN,NES,NOR,NTE,OCC,ORI,PEN
Year,,,2020,2020,2020,2020,2020,2020,2020,2020,,2020,2020,2020,2020,2020,2020,2020,2020
Month,Day,HORA,,,,,,,,,,,,,,,,,
1,5,18,807,"6,478","4,657","1,846","2,555","6,822","5,440","1,311",,0.81,6.48,4.66,1.85,2.56,6.82,5.44,1.31
1,5,19,808,"7,016","4,921","1,963","2,716","7,392","5,800","1,298",,0.81,7.02,4.92,1.96,2.72,7.39,5.80,1.30
1,5,20,797,"6,806","4,924","1,977","2,761","7,363","5,743","1,271",,0.80,6.81,4.92,1.98,2.76,7.36,5.74,1.27
1,5,21,776,"6,732","4,768","1,961","2,774","7,269","5,582","1,229",,0.78,6.73,4.77,1.96,2.77,7.27,5.58,1.23
1,5,22,735,"6,314","4,599","1,907","2,718","6,896","5,253","1,170",,0.74,6.31,4.60,1.91,2.72,6.90,5.25,1.17
1,5,23,690,"5,963","4,557","1,829","2,597","6,451","4,907","1,106",,0.69,5.96,4.56,1.83,2.60,6.45,4.91,1.11
1,6,0,656,"5,428","4,413","1,742","2,455","6,149","4,659","1,047",,0.66,5.43,4.41,1.74,2.46,6.15,4.66,1.05
1,6,1,635,"5,036","4,393","1,672","2,375","5,953","4,476","1,005",,0.64,5.04,4.39,1.67,2.38,5.95,4.48,1.01
1,6,2,624,"4,934","4,305","1,618","2,309","5,864","4,342",975,,0.62,4.93,4.31,1.62,2.31,5.86,4.34,0.98
1,6,3,615,"4,746","4,307","1,586","2,264","5,786","4,354",954,,0.62,4.75,4.31,1.59,2.26,5.79,4.35,0.95
1,6,4,635,"4,864","4,324","1,563","2,262","5,805","4,379",953,,0.64,4.86,4.32,1.56,2.26,5.81,4.38,0.95
1,6,5,663,"5,202","4,400","1,610","2,308","5,975","4,431",974,,0.66,5.20,4.40,1.61,2.31,5.98,4.43,0.97
1,6,6,723,"5,643","4,654","1,683","2,423","6,476","4,577","1,018",,0.72,5.64,4.65,1.68,2.42,6.48,4.58,1.02
1,6,7,771,"5,937","5,053","1,743","2,587","7,017","4,643","1,080",,0.77,5.94,5.05,1.74,2.59,7.02,4.64,1.08
1,6,8,800,"6,328","5,264","1,794","2,703","7,512","4,961","1,176",,0.80,6.33,5.26,1.79,2.70,7.51,4.96,1.18
1,6,9,830,"6,581","5,428","1,894","2,834","7,873","5,096","1,233",,0.83,6.58,5.43,1.89,2.83,7.87,5.10,1.23
1,6,10,851,"6,829","5,525","1,963","2,889","8,037","5,258","1,279",,0.85,6.83,5.53,1.96,2.89,8.04,5.26,1.28
1,6,11,858,"7,005","5,507","2,015","2,895","8,075","5,368","1,307",,0.86,7.01,5.51,2.02,2.90,8.08,5.37,1.31
1,6,12,872,"7,043","5,480","2,052","2,912","8,147","5,428","1,314",,0.87,7.04,5.48,2.05,2.91,8.15,5.43,1.31
1,6,13,880,"7,096","5,506","2,055","2,883","8,220","5,469","1,327",,0.88,7.10,5.51,2.06,2.88,8.22,5.47,1.33
1,6,14,880,"7,035","5,519","2,065","2,884","8,225","5,447","1,327",,0.88,7.04,5.52,2.07,2.88,8.23,5.45,1.33
1,6,15,884,"7,034","5,529","2,094","2,871","8,179","5,416","1,332",,0.88,7.03,5.53,2.09,2.87,8.18,5.42,1.33
1,6,16,882,"7,150","5,457","2,098","2,847","8,213","5,426","1,325",,0.88,7.15,5.46,2.10,2.85,8.21,5.43,1.33
1,6,17,912,"7,140","5,404","2,078","2,852","8,105","5,459","1,349",,0.91,7.14,5.40,2.08,2.85,8.11,5.46,1.35
1,6,18,925,"7,485","5,503","2,124","2,977","8,201","5,903","1,396",,0.93,7.49,5.50,2.12,2.98,8.20,5.90,1.40
1,6,19,914,"7,699","5,577","2,220","3,033","8,447","6,154","1,358",,0.91,7.70,5.58,2.22,3.03,8.45,6.15,1.36
1,6,20,900,"7,584","5,570","2,202","3,033","8,326","6,027","1,319",,0.90,7.58,5.57,2.20,3.03,8.33,6.03,1.32
1,6,21,871,"7,250","5,367","2,177","3,016","8,052","5,760","1,274",,0.87,7.25,5.37,2.18,3.02,8.05,5.76,1.27
1,6,22,821,"6,879","5,304","2,106","2,989","7,828","5,472","1,215",,0.82,6.88,5.30,2.11,2.99,7.83,5.47,1.22
1,6,23,770,"6,447","5,286","2,005","2,874","7,533","5,164","1,156",,0.77,6.45,5.29,2.01,2.87,7.53,5.16,1.16
1,7,0,727,"5,893","5,098","1,909","2,736","7,153","4,930","1,092",,0.73,5.89,5.10,1.91,2.74,7.15,4.93,1.09
1,7,1,696,"5,595","4,993","1,827","2,623","6,935","4,748","1,047",,0.70,5.60,4.99,1.83,2.62,6.94,4.75,1.05
1,7,2,677,"5,365","4,845","1,776","2,549","6,758","4,614","1,013",,0.68,5.37,4.85,1.78,2.55,6.76,4.61,1.01
1,7,3,670,"5,378","4,761","1,740","2,507","6,724","4,568",994,,0.67,5.38,4.76,1.74,2.51,6.72,4.57,0.99
1,7,4,679,"5,444","4,738","1,711","2,502","6,748","4,574",997,,0.68,5.44,4.74,1.71,2.50,6.75,4.57,1.00
1,7,5,699,"5,623","4,855","1,697","2,530","6,828","4,650","1,010",,0.70,5.62,4.86,1.70,2.53,6.83,4.65,1.01
1,7,6,740,"6,029","5,026","1,756","2,606","7,161","4,808","1,049",,0.74,6.03,5.03,1.76,2.61,7.16,4.81,1.05
1,7,7,783,"6,393","5,133","1,810","2,720","7,616","4,801","1,109",,0.78,6.39,5.13,1.81,2.72,7.62,4.80,1.11
1,7,8,814,"6,618","5,335","1,833","2,807","8,073","4,944","1,195",,0.81,6.62,5.34,1.83,2.81,8.07,4.94,1.20
1,7,9,835,"6,917","5,427","1,907","2,905","8,384","5,149","1,254",,0.84,6.92,5.43,1.91,2.91,8.38,5.15,1.25
1,7,10,853,"7,185","5,434","1,942","2,980","8,501","5,233","1,301",,0.85,7.19,5.43,1.94,2.98,8.50,5.23,1.30
1,7,11,862,"7,366","5,380","1,965","2,978","8,533","5,318","1,319",,0.86,7.37,5.38,1.97,2.98,8.53,5.32,1.32
1,7,12,866,"7,420","5,383","1,995","2,935","8,591","5,364","1,320",,0.87,7.42,5.38,2.00,2.94,8.59,5.36,1.32
1,7,13,877,"7,321","5,408","2,000","2,935","8,611","5,391","1,321",,0.88,7.32,5.41,2.00,2.94,8.61,5.39,1.32
1,7,14,881,"7,304","5,470","2,025","2,930","8,562","5,387","1,315",,0.88,7.30,5.47,2.03,2.93,8.56,5.39,1.32
1,7,15,878,"7,369","5,416","2,064","2,929","8,516","5,393","1,315",,0.88,7.37,5.42,2.06,2.93,8.52,5.39,1.32
1,7,16,879,"7,475","5,409","2,068","2,910","8,518","5,413","1,307",,0.88,7.48,5.41,2.07,2.91,8.52,5.41,1.31
1,7,17,921,"7,566","5,429","2,047","2,860","8,423","5,506","1,321",,0.92,7.57,5.43,2.05,2.86,8.42,5.51,1.32
1,7,18,938,"7,840","5,394","2,108","3,030","8,394","5,991","1,375",,0.94,7.84,5.39,2.11,3.03,8.39,5.99,1.38
1,7,19,932,"8,107","5,497","2,239","3,161","8,759","6,226","1,342",,0.93,8.11,5.50,2.24,3.16,8.76,6.23,1.34
1,7,20,918,"8,016","5,491","2,228","3,185","8,678","6,098","1,296",,0.92,8.02,5.49,2.23,3.19,8.68,6.10,1.30
1,7,21,882,"7,558","5,353","2,193","3,166","8,355","5,762","1,239",,0.88,7.56,5.35,2.19,3.17,8.36,5.76,1.24
1,7,22,825,"7,098","5,202","2,112","3,062","7,999","5,490","1,165",,0.83,7.10,5.20,2.11,3.06,8.00,5.49,1.17
1,7,23,769,"6,652","5,101","2,006","2,897","7,655","5,244","1,091",,0.77,6.65,5.10,2.01,2.90,7.66,5.24,1.09
1,8,0,728,"5,981","4,942","1,903","2,755","7,285","4,926","1,032",,0.73,5.98,4.94,1.90,2.76,7.29,4.93,1.03
1,8,1,701,"5,609","4,780","1,793","2,633","7,036","4,804",989,,0.70,5.61,4.78,1.79,2.63,7.04,4.80,0.99
1,8,2,684,"5,254","4,691","1,747","2,574","6,873","4,726",961,,0.68,5.25,4.69,1.75,2.57,6.87,4.73,0.96
1,8,3,677,"5,233","4,726","1,728","2,549","6,806","4,644",943,,0.68,5.23,4.73,1.73,2.55,6.81,4.64,0.94
1,8,4,687,"5,386","4,693","1,711","2,556","6,838","4,673",948,,0.69,5.39,4.69,1.71,2.56,6.84,4.67,0.95
1,8,5,721,"5,903","4,822","1,736","2,576","6,952","4,773",981,,0.72,5.90,4.82,1.74,2.58,6.95,4.77,0.98
